product_name,first3_count,total_count,department_id,first3_rate,general_rate,first3_ratio
Organic Low Fat Milk,6261,8438,16,0.0006491700763389172,0.00026015517001054035,2.495318760386794
Drinking Water,3858,5403,7,0.0004000156771307367,0.00016658193690056286,2.401314839852754
Mineral Water,4201,5936,7,0.000435579538524164,0.00018301506152910255,2.38002017366696
Zero Calorie Cola,5927,8558,7,0.0006145393774893407,0.0002638549354053335,2.3290804719846774
Extra Fancy Unsalted Mixed Nuts,6489,9709,19,0.0006728101941164724,0.0002993418518170581,2.2476315624841474
Soda,23709,35791,7,0.002458261194684457,0.0011034858603753553,2.227723329276072
India Pale Ale,2754,4245,5,0.00028554773841836414,0.00013087920084080867,2.181765602050721
Organic Variety Pack,2004,3097,7,0.00020778419309745887,9.548477856395394e-05,2.176097554211626
0% Greek Strained Yogurt,8565,13238,16,0.0008880596875647382,0.00040814578580226744,2.175839414387516
Smartwater,7389,11504,7,0.0007661264485015587,0.000354684175847506,2.160024327758421
Unsweetened Vanilla Almond Breeze,2145,3374,16,0.00022240373961778906,0.0001040250703502682,2.1379821120901137
Vodka,3474,5475,5,0.0003602007419264332,0.00016880179613743877,2.1338679455351115
Non Fat Greek Yogurt,2617,4148,16,0.00027134293080641214,0.0001278885571466842,2.121713911395452
Popcorn,4286,6829,19,0.0004443927403272,0.0002105474823420218,2.1106533090968553
Organic Coconut Water,3394,5474,7,0.00035190596375887,0.00016877096475914882,2.085109629260407
Sparkling Water,7605,12321,7,0.0007885223495539795,0.00037987341191038956,2.0757503021558885
Sparkling Mineral Water,11135,18161,7,0.001154529436197707,0.0005599286611236576,2.061922377541475
Diet,2000,3279,7,0.0002073694541890807,0.0001010960894127236,2.0512114305677773
Trail Mix,7342,12068,19,0.0007612532663281153,0.00037207307320303397,2.045977849928184
Reduced Fat 2% Milk,10340,17320,16,0.0010721000781575474,0.0005339994719818155,2.007680034174371
Organic  Whole Milk,5862,9842,16,0.0006077998702281956,0.0003034424251296205,2.003015464856517
Fat Free Skim Milk,5425,9130,16,0.0005624896444878815,0.00028149048378718096,1.9982545659097595
Half And Half Cream,3700,6281,16,0.00038363349024979934,0.00019365188703913294,1.9810470019962942
Spring Water,32976,56087,7,0.0034191075606695626,0.0017292395141480417,1.9772319176699371
Original Almondmilk,2618,4554,16,0.00027144661553350665,0.00014040609673240113,1.9332965010120224
Vanilla Milk Chocolate Almond Ice Cream Bars Multi-Pack,2220,3864,1,0.0002301800941498796,0.00011913244571234034,1.9321360589345844
Natural Artesian Bottled Water,2774,4855,7,0.00028762143296025494,0.000149686341597674,1.9214941716814884
Orange & Lemon Flavor Variety Pack Sparkling Fruit Beverage,2302,4053,7,0.0002386822417716319,0.0001249595762091396,1.9100756341567566
Beer,3313,5844,5,0.0003435075008642122,0.0001801785747264278,1.9064836170769646
Pub Mix,2441,4316,19,0.000253094418837773,0.00013306822869939465,1.9019898386828409
"Milk, Organic, Vitamin D",11395,20198,16,0.0011814874652422873,0.0006227321787002718,1.8972641942290749
Milk Chocolate Almonds,2817,5019,19,0.00029207987622532016,0.00015474268763722467,1.887519731530486
Organic Reduced Fat Milk,19955,35663,16,0.0020690287291715527,0.0010995394439542426,1.8817230619128706
Energy Drink,3582,6461,7,0.00037139869245264356,0.00019920153513132272,1.8644368990821312
Organic Lactose Free Whole Milk,4676,8477,16,0.0004848297838940707,0.00026135759376384813,1.8550437999981846
Natural Spring Water,10763,19518,7,0.0011159587177185378,0.0006017668414631105,1.8544702712519736
Original Whole Fat Lactose Free Milk,2716,4964,16,0.00028160771878877163,0.00015304696183127782,1.8400085530559038
Natural Artesian Water,7506,13727,7,0.0007782575615716199,0.00042322232978604966,1.838885868723066
Sweet & Salty Nut Granola Bars Peanut,2284,4188,19,0.00023681591668393018,0.00012912181227828193,1.8340504404751312
Organic Homogenized Whole Milk,2164,3970,16,0.00022437374943258534,0.00012240057181107431,1.8331103042468377
"Organic Milk Reduced Fat, 2% Milkfat",6940,12737,16,0.0007195720060361101,0.00039269926527900594,1.8323742101347371
Whole Vitamin D Milk,2276,4200,16,0.00023598643886717384,0.00012949178881776124,1.822404656092029
Smartwater Electrolyte Enhanced Water,2742,5084,7,0.00028430352169322965,0.00015674672722607098,1.813776445125948
Purified Water,5914,10998,7,0.0006131914760371117,0.00033908349843279477,1.8083789947644537
Coconut Water,4741,8848,7,0.0004915692911552158,0.000272796035109417,1.8019664067259995
Organic Lowfat 1% Milk,7960,14869,16,0.0008253304276725412,0.00045843176379316476,1.8003342980503285
Original Beef Jerky,3458,6476,19,0.00035854178629292057,0.00019966400580567187,1.7957256985111307
Dried Mangos,2179,4081,19,0.00022592902033900344,0.000125822854801258,1.7956119394673324
Goat Milk,2761,5185,16,0.00028627353150802593,0.00015986069643335524,1.790768699843437
Crunchy Oats 'n Honey Granola Bars,4633,8723,19,0.00048037134062900547,0.00026894211282317413,1.7861514345462262
Cheez-It Baked Snack Crackers,2037,3842,19,0.0002112057890915787,0.00011845415538996159,1.7830171376957653
Organic Whole Grassmilk Milk,8158,15459,16,0.0008458600036372602,0.0004766222769842312,1.7746967451654492
"Milk, Reduced Fat, 2% Milkfat",3982,7558,16,0.0004128725832904597,0.00023302355711539034,1.7718062002032284
Sugar Free Energy Drink,2148,4095,7,0.0002227147937990727,0.00012625449409731722,1.764014781346347
Alpine Spring Water,5537,10603,7,0.0005741023339224699,0.0003269051040082672,1.756174274684776
Dha Omega 3 Reduced Fat 2% Milk,5281,10148,16,0.0005475590437862677,0.0003128768268863431,1.750078614755244
Ice Bag,2208,4244,1,0.0002289358774247451,0.00013084836946251874,1.7496272851173995
Dha Omega 3 Vitamin D Milk,4026,7751,16,0.00041743471128261945,0.00023897401312534936,1.7467786803398655
Raw Shrimp,2048,3960,1,0.00021234632108961865,0.00012209225802817489,1.7392283877706325
Whole Milk,18314,35633,16,0.001898882092009412,0.0010986145026055444,1.7284334837250936
Whole Organic Omega 3 Milk,4680,9108,16,0.00048524452280244887,0.00028081219346480225,1.7280037480397756
Almonds,2306,4488,19,0.00023909698068001007,0.00013837122576526486,1.7279385895274064
Diet Coke,3425,6720,7,0.0003551201902988007,0.00020718686210841798,1.7140092121911248
Organic Simply Naked Pita Chips,4526,8957,19,0.00046927707482988967,0.0002761566553430208,1.699314739479986
Lactose Free Fat Free Milk,2330,4650,16,0.00024158541413027903,0.00014336590904823567,1.6850966574556945
100% Natural Spring Water,3465,6938,7,0.00035926757938258236,0.0002139081025756256,1.6795417053244441
Cheez-It Cheddar Cracker,2133,4285,19,0.0002211595228926546,0.0001321124559724064,1.6740247637122645
Water,6710,13494,7,0.0006957245188043658,0.0004160386186444929,1.6722594673329254
Organic Whole Milk with DHA Omega-3,6690,13528,16,0.000693650824262475,0.00041708688550635097,1.663084715359416
Organic Lactose Free 1% Lowfat Milk,3739,7569,16,0.00038767719460648637,0.00023336270227657972,1.661264592946881
Chardonnay,3032,6153,5,0.00031437209255064634,0.00018970547061802022,1.6571588132197173
Organic Milk,13772,27992,16,0.0014279460615460099,0.0008630319410920887,1.6545691921194405
Liquid Egg Whites,3325,6763,16,0.0003447517175893467,0.00020851261137488553,1.6533854490437339
Natural Artisan Water,5456,11110,7,0.0005657038710278121,0.00034253661280126844,1.651513589748784
Grassmilk 2% Reduced Fat Milk,2479,5049,16,0.00025703443846736556,0.00015566762898592298,1.6511746221213992
Pure Water,2595,5287,7,0.00026906186681033224,0.00016300549701892946,1.650630633512235
Organic Reduced Fat Omega-3 Milk,2532,5159,16,0.00026252972900337617,0.00015905908059781672,1.6505170784130618
Cherrios Honey Nut,3654,7452,14,0.00037886399280345046,0.00022975543101665636,1.6489881920396663
Lactose Free 2% Reduced Fat Milk,3484,7114,16,0.0003612375891973786,0.00021933442515465558,1.646971691482836
Organic Whole Milk,67432,137905,16,0.006991668517439045,0.00425180122307461,1.6444015490411734
Original Rice Krispies Treats,2041,4179,19,0.00021162052799995686,0.00012884432987367243,1.6424512293823386
Organic 1% Low Fat Milk,5912,12121,16,0.0006129841065829226,0.00037370713625240094,1.6402793715154387
Sauvignon Blanc,4017,8246,5,0.0004165015487387686,0.00025423554537887125,1.6382506549903655
Organic Fat Free Milk,12929,26591,16,0.0013405398366053123,0.0008198371801078784,1.6351293514511225
1% Low Fat Milk,4190,8621,16,0.0004344390065261241,0.00026579731223759994,1.6344747915952325
Unsweetened Almond Milk,3152,6486,16,0.0003268142598019912,0.0001999723195885713,1.6342974891444382
Vitamin D Whole Milk,4358,8996,16,0.0004518580406780069,0.0002773590790963286,1.6291445809173375
Distilled Water,7611,15871,7,0.0007891444579165467,0.0004893248048396878,1.6127211416864213
with Crispy Almonds Cereal,2076,4330,14,0.00021524949344826577,0.00013349986799545386,1.612357350462667
Reduced Fat Milk 100% Lactose Free,4855,10130,16,0.0005033893500439934,0.00031232186207712416,1.611764692667231
Fridge Pack Cola,8734,18269,7,0.0009055824064437154,0.0005632584499789715,1.607756450839795
2% Reduced Fat Milk,17732,37091,16,0.0018385375808403896,0.0011435666521522816,1.6077222760738243
Electrolyte Enhanced Water,9904,20735,7,0.0010268935371443278,0.0006392886288419712,1.6063065895673398
Coke Zero,2741,5746,7,0.00028419983696613513,0.00017715709965401337,1.6042249366306827
2% Reduced Fat Organic Milk,7799,16356,16,0.0008086371866103203,0.0005042780233103102,1.6035542879740388
100% Lactose Free Fat Free Milk,3440,7226,16,0.0003566754612052188,0.00022278753952312922,1.60096683130786
2% Reduced Fat DHA Omega-3 Reduced Fat Milk,6374,13397,16,0.0006608864505006002,0.0004130479749503684,1.6000234611488215
Fat Free Milk,13824,29345,16,0.001433337667354926,0.0009047467959183818,1.5842417721965925
Whole Grain Cheddar Baked Snack Crackers,3410,7321,19,0.0003535649193923826,0.00022571652046067382,1.5664113493809753
Italian Sparkling Mineral Water,14373,30937,7,0.0014902605825298286,0.0009538303501559713,1.5623958519312577
Cabernet Sauvignon,2838,6115,5,0.00029425725549430553,0.0001885338782430024,1.5607659389207265
Organic Reduced Fat 2% Milk,22133,47839,16,0.002294854064783462,0.0014749423060125904,1.5558941223860132
Organic 2% Reduced Fat Milk,10753,23244,16,0.0011149218704475925,0.0007166445569714386,1.5557529316336203
Organic Fat-Free Milk,2217,4795,16,0.00022986903996859598,0.0001478364589002774,1.5548873510535948
Mozzarella String Cheese,4861,10521,16,0.0005040114584065607,0.0003243769309884919,1.553783300405052
1% Lowfat Milk,6565,14231,16,0.0006806902333756574,0.000438761344444181,1.5513906181456112
Organic 1% Milk,2242,4887,16,0.00023246115814595949,0.0001506729457029522,1.542819495971431
Vitamin D Organic Whole Milk,4735,10329,16,0.0004909471827926486,0.00031845730635682285,1.5416420756965
smartwaterÂ® Electrolyte Enhanced Water,2232,4883,7,0.00023142431087501408,0.0001505496201897924,1.537196245219788
Cola,5288,11585,7,0.0005482848368759294,0.0003571815174889914,1.5350313776883147
Sparkling Natural Spring Water,2600,5709,7,0.00026958029044580494,0.00017601633865728546,1.531564015603655
Pure Sparkling Water,13115,28884,7,0.0013598251958448968,0.000890533530526718,1.5269780970971525
Organic Original Almond Milk,4545,10060,16,0.0004712470846446859,0.0003101636655968281,1.519349739879735
Sparkling Natural Mineral Water,19298,42934,7,0.00200090786347044,0.0013237143955004192,1.5115857848731888
New Orleans Iced Coffee,3146,7011,7,0.000326192151439424,0.00021615879319079144,1.5090394733630483
