antecedent,consequent,support,confidence,lift,segment
Cucumber Kirby,Banana,0.0181,0.3307748538011696,1.5164115610010986,Sleeping
Cucumber Kirby,Organic Avocado,0.0091,0.16630116959064328,1.8698130154108756,Sleeping
Cucumber Kirby,Organic Baby Spinach,0.00949,0.17342836257309943,1.5183712359753059,Sleeping
Boneless Skinless Chicken Breasts,Banana,0.00753,0.2857685009487666,1.310083440832378,Sleeping
Fresh Cauliflower,Organic Baby Spinach,0.00628,0.1853053998229566,1.6223551026348852,Sleeping
Michigan Organic Kale,Organic Avocado,0.0055,0.15745777268823358,1.7703819731080905,Sleeping
Michigan Organic Kale,Organic Baby Spinach,0.00726,0.20784425994846834,1.8196835926148514,Sleeping
Asparagus,Organic Baby Spinach,0.00529,0.176686706746827,1.5468981504712571,Sleeping
Red Peppers,Banana,0.00846,0.2984126984126984,1.3680497795475104,Sleeping
Large Lemon,Organic Avocado,0.0122,0.15811301192327631,1.7777491783593018,Sleeping
Large Lemon,Organic Baby Spinach,0.0121,0.1568170036288232,1.37293822122941,Sleeping
Yellow Onions,Banana,0.01237,0.302371058420924,1.3861965727819374,Sleeping
Yellow Onions,Large Lemon,0.00618,0.1510633097042288,1.9577930236421563,Sleeping
Organic Strawberries,Organic Baby Spinach,0.01662,0.1561736515692539,1.3673056519808604,Sleeping
Organic Strawberries,Bag of Organic Bananas,0.02023,0.1900958466453674,1.3918278418902283,Sleeping
Organic Raspberries,Organic Strawberries,0.01017,0.22559893522626442,2.1198922686174066,Sleeping
Organic Raspberries,Organic Hass Avocado,0.00816,0.18101153504880213,2.229206096660125,Sleeping
Organic Raspberries,Bag of Organic Bananas,0.01102,0.24445430346051464,1.7898250363194803,Sleeping
Organic Grape Tomatoes,Organic Strawberries,0.00639,0.1667971808927173,1.5673480632655263,Sleeping
Organic Grape Tomatoes,Organic Baby Spinach,0.00777,0.20281910728269384,1.7756882094440014,Sleeping
Organic Grape Tomatoes,Organic Avocado,0.00663,0.173061863743148,1.9458271165184167,Sleeping
Organic Blackberries,Organic Strawberries,0.00508,0.19220582671206965,1.806106246119805,Sleeping
Organic Avocado,Banana,0.02779,0.31245783674387223,1.4324386225822778,Sleeping
Organic Avocado,Organic Baby Spinach,0.01705,0.19170227119406338,1.6783599299077516,Sleeping
"Banana, Organic Baby Spinach",Organic Avocado,0.00605,0.2290798939795532,2.575667798285959,Sleeping
"Banana, Organic Avocado",Organic Baby Spinach,0.00605,0.21770421014753508,1.9060077932720634,Sleeping
"Organic Avocado, Organic Baby Spinach",Banana,0.00605,0.3548387096774194,1.6267304344996991,Sleeping
Red Vine Tomato,Banana,0.00766,0.2863551401869159,1.312772842740182,Sleeping
Large Lemon,Limes,0.01421,0.1841627786417833,2.697170161713288,Sleeping
Limes,Large Lemon,0.01421,0.20811364967779733,2.697170161713288,Sleeping
Limes,Organic Avocado,0.01238,0.1813122437024019,2.0385905520845724,Sleeping
Blueberries,Banana,0.00849,0.3159657610718273,1.4485204285143138,Sleeping
Bunched Cilantro,Limes,0.00714,0.2894203486015403,4.2387280111531975,Sleeping
Small Hass Avocado,Banana,0.00648,0.30667297681022243,1.4059183826627353,Sleeping
Organic Lemon,Organic Strawberries,0.00602,0.16314363143631436,1.5330166457086483,Sleeping
Organic Lemon,Organic Hass Avocado,0.0086,0.23306233062330622,2.8702257465924412,Sleeping
Organic Lemon,Bag of Organic Bananas,0.00793,0.2149051490514905,1.5734745134828707,Sleeping
Organic Lemon,Organic Baby Spinach,0.00608,0.16476964769647695,1.4425638915818328,Sleeping
Organic Baby Carrots,Organic Baby Spinach,0.00691,0.19221140472878998,1.6828174113884606,Sleeping
Organic Baby Carrots,Organic Strawberries,0.00556,0.15465924895688454,1.4532911948589038,Sleeping
Organic Yellow Onion,Organic Baby Spinach,0.00938,0.19065040650406503,1.669150818631282,Sleeping
Organic Yellow Onion,Organic Garlic,0.01064,0.216260162601626,4.134203070189753,Sleeping
Organic Garlic,Organic Yellow Onion,0.01064,0.20340279105333586,4.134203070189753,Sleeping
Organic Yellow Onion,Organic Hass Avocado,0.00792,0.16097560975609757,1.9824582482278026,Sleeping
Organic Baby Arugula,Organic Baby Spinach,0.00671,0.18901408450704227,1.6548247636757334,Sleeping
Organic Baby Arugula,Organic Avocado,0.00554,0.156056338028169,1.754624893503137,Sleeping
Apple Honeycrisp Organic,Bag of Organic Bananas,0.00638,0.2104221635883905,1.5406513661472432,Sleeping
Apple Honeycrisp Organic,Organic Strawberries,0.00551,0.1817282321899736,1.7076511199959934,Sleeping
Apple Honeycrisp Organic,Organic Hass Avocado,0.00516,0.17018469656992083,2.095870647412818,Sleeping
Lime Sparkling Water,Sparkling Water Grapefruit,0.00511,0.23900841908325537,6.428413638602889,Sleeping
Carrots,Organic Baby Spinach,0.00574,0.17965571205007827,1.572891893276819,Sleeping
Organic Blueberries,Organic Strawberries,0.01022,0.22397545474468553,2.1046368609724255,Sleeping
Organic Blueberries,Bag of Organic Bananas,0.00842,0.18452772298926148,1.3510596206564758,Sleeping
Organic Red Onion,Organic Garlic,0.00539,0.1809939556749496,3.4600259161718525,Sleeping
Organic Red Onion,Limes,0.00551,0.1850235057085292,2.7097760062760576,Sleeping
Organic Red Onion,Organic Baby Spinach,0.00575,0.19308260577568837,1.690444806300896,Sleeping
Organic Gala Apples,Bag of Organic Bananas,0.00621,0.24594059405940594,1.800707234290569,Sleeping
Original Hummus,Organic Baby Spinach,0.00537,0.15887573964497043,1.3909625253455649,Sleeping
Organic Whole Milk,Organic Strawberries,0.00838,0.17161580995289782,1.6126274192153527,Sleeping
Organic Ginger Root,Organic Baby Spinach,0.00551,0.2349680170575693,2.057153012235767,Sleeping
Organic Ginger Root,Organic Garlic,0.00524,0.223454157782516,4.271729263668821,Sleeping
Organic Large Extra Fancy Fuji Apple,Bag of Organic Bananas,0.00684,0.2746987951807229,2.011266621618999,Sleeping
Organic Cucumber,Organic Hass Avocado,0.0062,0.19903691813804172,2.451193573128593,Sleeping
Organic Cucumber,Bag of Organic Bananas,0.00715,0.22953451043338682,1.6805865458587408,Sleeping
Organic Cucumber,Organic Strawberries,0.00593,0.19036918138041733,1.7888477859464136,Sleeping
Organic Cucumber,Organic Baby Spinach,0.00689,0.22118780096308185,1.9365067498081059,Sleeping
Hass Avocados,Bag of Organic Bananas,0.00571,0.20524802300503234,1.5027677771638037,Sleeping
Jalapeno Peppers,Limes,0.00644,0.27380952380952384,4.010098474070356,Sleeping
Organic Cilantro,Limes,0.00819,0.28656403079076276,4.196895588616912,Sleeping
Organic Cilantro,Organic Baby Spinach,0.0052,0.18194541637508746,1.5929383328233886,Sleeping
Organic Hass Avocado,Bag of Organic Bananas,0.0181,0.22290640394088673,1.6320574311091427,Sleeping
Organic Hass Avocado,Organic Baby Spinach,0.01429,0.17598522167487687,1.5407566247143833,Sleeping
Organic Hass Avocado,Organic Strawberries,0.01346,0.16576354679802957,1.5576352828230555,Sleeping
Organic Fuji Apple,Banana,0.0125,0.34906450712091597,1.6002590524958327,Sleeping
Organic Garlic,Organic Baby Spinach,0.01084,0.20722615178742115,1.814272034559807,Sleeping
Organic Garlic,Organic Avocado,0.00791,0.15121391703307208,1.700178963717923,Sleeping
Organic Garlic,Large Lemon,0.00848,0.16211049512521505,2.1009654630017502,Sleeping
Organic Garlic,Limes,0.00874,0.16708086407952588,2.4469956660739003,Sleeping
Organic Zucchini,Organic Baby Spinach,0.00845,0.2046500363284088,1.7917180557556365,Sleeping
Organic Small Bunch Celery,Organic Baby Spinach,0.00552,0.19327731092436976,1.6921494565257376,Sleeping
Organic Small Bunch Celery,Bag of Organic Bananas,0.00534,0.1869747899159664,1.3689763502413705,Sleeping
Raspberries,Strawberries,0.00623,0.19578881206788185,2.7310477342430164,Sleeping
Organic Italian Parsley Bunch,Organic Garlic,0.00526,0.2120112857718662,4.052978126015412,Sleeping
Honeycrisp Apple,Banana,0.01281,0.35822147651006714,1.642238465640064,Sleeping
Honeycrisp Apple,Organic Baby Spinach,0.00542,0.15156599552572708,1.3269654659930579,Sleeping
Organic Red Bell Pepper,Organic Strawberries,0.00512,0.19654510556621882,1.846881277637839,Sleeping
Broccoli Crown,Banana,0.00679,0.3283365570599613,1.5052333794524426,Sleeping
Organic Tomato Cluster,Bag of Organic Bananas,0.00504,0.18632162661737522,1.3641940739301157,Sleeping
Seedless Red Grapes,Banana,0.01119,0.3143258426966292,1.441002350417775,Sleeping
Seedless Red Grapes,Organic Strawberries,0.00575,0.16151685393258428,1.5177302568369129,Sleeping
Organic Peeled Whole Baby Carrots,Banana,0.00775,0.28471711976487873,1.3052634656621223,Sleeping
Organic Garlic,Organic Baby Spinach,0.0102,0.19402701160357622,1.7272946817731347,Premium
Organic Garlic,Organic Hass Avocado,0.00923,0.1755754232451969,1.66769968887915,Premium
Organic Yellow Onion,Organic Garlic,0.01004,0.19928543072647875,3.7908584882343304,Premium
Organic Garlic,Organic Yellow Onion,0.01004,0.1909834506372456,3.790858488234331,Premium
Organic Yellow Onion,Organic Baby Spinach,0.00858,0.1703056768558952,1.5161192633837373,Premium
Organic Yellow Onion,Organic Hass Avocado,0.00917,0.18201667328304882,1.728881775104947,Premium
"Banana, Organic Baby Spinach",Organic Strawberries,0.00559,0.22668288726682886,1.5312272849691222,Premium
"Banana, Organic Strawberries",Organic Baby Spinach,0.00559,0.1712622549019608,1.5246350476449817,Premium
"Bag of Organic Bananas, Organic Baby Spinach",Organic Strawberries,0.00588,0.25733041575492344,1.7382492282823794,Premium
"Organic Baby Spinach, Organic Strawberries",Bag of Organic Bananas,0.00588,0.27644569816643155,1.6230006350404012,Premium
"Bag of Organic Bananas, Organic Strawberries",Organic Baby Spinach,0.00588,0.17904993909866015,1.5939636704233968,Premium
Organic Raspberries,Organic Strawberries,0.01687,0.27333117303953336,1.8463332412829867,Premium
Organic Raspberries,Bag of Organic Bananas,0.01796,0.2909915748541802,1.7083988425654917,Premium
Organic Raspberries,Organic Hass Avocado,0.01154,0.18697342838626055,1.7759634155229915,Premium
"Bag of Organic Bananas, Organic Strawberries",Organic Raspberries,0.00534,0.16260657734470157,2.634584856524653,Premium
"Bag of Organic Bananas, Organic Raspberries",Organic Strawberries,0.00534,0.2973273942093541,2.0084260619383554,Premium
"Organic Raspberries, Organic Strawberries",Bag of Organic Bananas,0.00534,0.3165382335506817,1.8583821613965932,Premium
"Bag of Organic Bananas, Organic Hass Avocado",Organic Raspberries,0.00501,0.17052416609938734,2.762867240754818,Premium
"Organic Hass Avocado, Organic Raspberries",Bag of Organic Bananas,0.00501,0.4341421143847487,2.5488294157503004,Premium
"Bag of Organic Bananas, Organic Raspberries",Organic Hass Avocado,0.00501,0.2789532293986637,2.6496317382091914,Premium
Organic Blueberries,Organic Strawberries,0.01328,0.27981458069953646,1.890128213317593,Premium
Organic Tomato Cluster,Organic Baby Spinach,0.00531,0.1650606154802611,1.469425936795701,Premium
Organic Tomato Cluster,Bag of Organic Bananas,0.00753,0.23406900839291267,1.3742089379023816,Premium
Organic Tomato Cluster,Organic Hass Avocado,0.00656,0.20391669257071807,1.9368986756337203,Premium
Organic Tomato Cluster,Organic Strawberries,0.00735,0.22847373329188686,1.5433243264785657,Premium
Organic Italian Parsley Bunch,Organic Baby Spinach,0.00535,0.1819109146548793,1.6194330513209232,Premium
Organic Italian Parsley Bunch,Organic Garlic,0.00551,0.1873512410744645,3.5638432770489725,Premium
Seedless Red Grapes,Organic Strawberries,0.00729,0.20593220338983048,1.3910578451082847,Premium
Seedless Red Grapes,Banana,0.01116,0.31525423728813556,1.455198658087775,Premium
Organic Hass Avocado,Bag of Organic Bananas,0.02938,0.27906534954407297,1.638380494006182,Premium
Bag of Organic Bananas,Organic Hass Avocado,0.02938,0.1724886984089708,1.6383804940061817,Premium
Organic Baby Spinach,Organic Hass Avocado,0.01696,0.15098370871539216,1.4341157742723418,Premium
Organic Hass Avocado,Organic Baby Spinach,0.01696,0.16109422492401215,1.4341157742723418,Premium
Organic Hass Avocado,Organic Strawberries,0.02478,0.23537234042553193,1.5899239423502562,Premium
Organic Strawberries,Organic Hass Avocado,0.02478,0.16738719265063495,1.589923942350256,Premium
"Bag of Organic Bananas, Organic Baby Spinach",Organic Hass Avocado,0.00561,0.2455142231947484,2.3320119984303607,Premium
"Organic Baby Spinach, Organic Hass Avocado",Bag of Organic Bananas,0.00561,0.33077830188679247,1.9419849814289465,Premium
"Bag of Organic Bananas, Organic Hass Avocado",Organic Baby Spinach,0.00561,0.19094622191967325,1.6998684404849396,Premium
"Bag of Organic Bananas, Organic Hass Avocado",Organic Strawberries,0.0086,0.292716133424098,1.977277313051189,Premium
"Organic Hass Avocado, Organic Strawberries",Bag of Organic Bananas,0.0086,0.3470540758676352,2.0375393405015862,Premium
"Bag of Organic Bananas, Organic Strawberries",Organic Hass Avocado,0.0086,0.2618757612667479,2.487421744554976,Premium
Michigan Organic Kale,Organic Baby Spinach,0.00693,0.20798319327731093,1.8515373744975603,Premium
Michigan Organic Kale,Organic Hass Avocado,0.00542,0.16266506602641057,1.5450709159043556,Premium
Bunched Cilantro,Limes,0.00572,0.26592282659228267,4.120279308836112,Premium
Organic Baby Carrots,Organic Strawberries,0.00733,0.215461493239271,1.4554275414703526,Premium
Organic Baby Carrots,Organic Baby Spinach,0.00581,0.17078189300411523,1.5203587020752714,Premium
Organic Red Bell Pepper,Organic Strawberries,0.0069,0.23817742492233346,1.6088720948549948,Premium
Organic Red Bell Pepper,Organic Hass Avocado,0.00603,0.2081463583016914,1.9770740720145459,Premium
Organic Granny Smith Apple,Bag of Organic Bananas,0.00638,0.2391304347826087,1.4039243514507644,Premium
Organic Kiwi,Organic Strawberries,0.00693,0.27532777115613827,1.8598201239944492,Premium
Organic Kiwi,Bag of Organic Bananas,0.00674,0.26777910210568134,1.5721194276151078,Premium
Organic Kiwi,Organic Hass Avocado,0.00514,0.20421136273341275,1.939697594352325,Premium
Organic D'Anjou Pears,Bag of Organic Bananas,0.0063,0.28162717925793473,1.6534208845061629,Premium
Organic D'Anjou Pears,Organic Strawberries,0.0056,0.2503352704514975,1.6909975037253275,Premium
Organic Large Extra Fancy Fuji Apple,Bag of Organic Bananas,0.0104,0.28872848417545804,1.6951123359094582,Premium
Organic Large Extra Fancy Fuji Apple,Organic Hass Avocado,0.00644,0.1787895613548029,1.6982291162120335,Premium
Organic Large Extra Fancy Fuji Apple,Organic Strawberries,0.00884,0.24541921154913937,1.657789864557818,Premium
Organic Whole Milk,Organic Strawberries,0.01414,0.20457175925925924,1.381868138741281,Premium
Organic Whole String Cheese,Organic Hass Avocado,0.00536,0.17493472584856398,1.6616140373153874,Premium
Organic Whole String Cheese,Bag of Organic Bananas,0.00704,0.2297650130548303,1.3489403690179669,Premium
Organic Whole String Cheese,Organic Strawberries,0.00821,0.26795039164490864,1.809986433699734,Premium
Organic Small Bunch Celery,Bag of Organic Bananas,0.00728,0.2234499693063229,1.3118650226403035,Premium
Organic Small Bunch Celery,Organic Hass Avocado,0.00595,0.18262737875997548,1.734682549011925,Premium
Organic Small Bunch Celery,Organic Strawberries,0.00644,0.19766728054020874,1.3352288607147307,Premium
Organic Small Bunch Celery,Organic Baby Spinach,0.00624,0.19152854511970535,1.7050524803677143,Premium
Organic Unsweetened Almond Milk,Bag of Organic Bananas,0.00659,0.22945682451253485,1.347131007529706,Premium
Organic Unsweetened Almond Milk,Organic Baby Spinach,0.0051,0.1775766016713092,1.580847517771826,Premium
Organic Avocado,Banana,0.02577,0.31175901282361485,1.4390648671695663,Premium
Organic Avocado,Organic Baby Spinach,0.01377,0.16658601500120976,1.483005563974092,Premium
Organic Grape Tomatoes,Organic Strawberries,0.00929,0.2317286106260913,1.5653107986091008,Premium
Organic Grape Tomatoes,Organic Baby Spinach,0.00751,0.1873285108505862,1.6676623417661016,Premium
Organic Grape Tomatoes,Organic Hass Avocado,0.00668,0.16662509353953606,1.5826851590001525,Premium
Organic Navel Orange,Bag of Organic Bananas,0.0056,0.3135498320268757,1.840837386408006,Premium
Honeycrisp Apple,Banana,0.01373,0.361506055818852,1.6686948662243906,Premium
Organic Red Onion,Organic Hass Avocado,0.00525,0.18191268191268192,1.7278940151280577,Premium
Organic Red Onion,Organic Baby Spinach,0.00533,0.18468468468468466,1.6441260988576931,Premium
Organic Reduced Fat Milk,Banana,0.0056,0.3167420814479638,1.4620664764030824,Premium
Organic Fuji Apple,Banana,0.0171,0.40263715563927477,1.858554078837125,Premium
Apple Honeycrisp Organic,Bag of Organic Bananas,0.00875,0.25765606595995294,1.5126875239825803,Premium
Apple Honeycrisp Organic,Organic Strawberries,0.00693,0.20406360424028272,1.3784355866001263,Premium
Apple Honeycrisp Organic,Organic Hass Avocado,0.00607,0.17873969375736162,1.6977554498229637,Premium
Fresh Cauliflower,Organic Baby Spinach,0.00595,0.17943305186972255,1.5973742710738232,Premium
Organic Peeled Whole Baby Carrots,Organic Strawberries,0.006,0.21513087128002867,1.453194212915622,Premium
Yellow Onions,Banana,0.00958,0.3071497274767554,1.4177886238771944,Premium
Carrots,Organic Baby Spinach,0.00609,0.1715492957746479,1.5271903834652176,Premium
Organic Gala Apples,Organic Hass Avocado,0.00574,0.1741504854368932,1.654164945259244,Premium
Organic Gala Apples,Bag of Organic Bananas,0.0086,0.2609223300970874,1.5318636182533163,Premium
Organic Gala Apples,Organic Strawberries,0.00788,0.2390776699029126,1.6149531876716603,Premium
Large Lemon,Limes,0.01099,0.18186331292404434,2.8178387499851927,Premium
Limes,Large Lemon,0.01099,0.1702819956616052,2.817838749985193,Premium
Large Lemon,Organic Avocado,0.0097,0.16051629985106736,1.9418860373949596,Premium
Large Lemon,Organic Baby Spinach,0.00908,0.1502564951183187,1.337634604454008,Premium
Limes,Organic Avocado,0.01041,0.16129532073132943,1.951310437107784,Premium
Limes,Organic Hass Avocado,0.01012,0.15680198326619152,1.4893805401423967,Premium
Organic Baby Arugula,Organic Baby Spinach,0.00651,0.18348365276211953,1.6334341027518875,Premium
Organic Baby Arugula,Organic Hass Avocado,0.00617,0.17390078917700114,1.6517932102678679,Premium
Organic Cilantro,Limes,0.00667,0.23063623789764867,3.573539477806766,Premium
Organic Cilantro,Organic Baby Spinach,0.00504,0.17427385892116182,1.551445374531842,Premium
Organic Cilantro,Organic Hass Avocado,0.00537,0.18568464730290454,1.7637219538649749,Premium
Bag of Organic Bananas,Organic Strawberries,0.03284,0.19280220747959842,1.302365627395288,Premium
Organic Strawberries,Bag of Organic Bananas,0.03284,0.2218319373142394,1.302365627395288,Premium
Original Hummus,Organic Strawberries,0.00751,0.21506300114547539,1.452735754832987,Premium
Original Hummus,Organic Hass Avocado,0.00531,0.15206185567010308,1.444356531820888,Premium
Original Hummus,Organic Baby Spinach,0.00556,0.15922107674684993,1.4174403698642386,Premium
Cucumber Kirby,Banana,0.01425,0.32993748552905766,1.5229758379295497,Premium
Cucumber Kirby,Organic Baby Spinach,0.00692,0.16022227367446168,1.4263533666381347,Premium
Cucumber Kirby,Organic Avocado,0.00703,0.16276915952766843,1.9691405701387423,Premium
Strawberries,Banana,0.01772,0.2999830709327916,1.3847076760191634,Premium
Blueberries,Banana,0.0081,0.3156664068589244,1.4571012133443704,Premium
"Clementines, Bag",Banana,0.00618,0.3190500774393392,1.4727200768064033,Premium
Boneless Skinless Chicken Breasts,Banana,0.00758,0.30626262626262624,1.413693806603703,Premium
Organic Bartlett Pear,Organic Strawberries,0.00603,0.2928606119475473,1.9782532555224757,Premium
Organic Bartlett Pear,Bag of Organic Bananas,0.0057,0.2768334142787761,1.6252768994233318,Premium
Organic Zucchini,Organic Baby Spinach,0.0083,0.18302094818081588,1.6293149486407539,Premium
Organic Lemon,Organic Baby Spinach,0.00708,0.16010854816824965,1.425340943365527,Premium
Organic Lemon,Organic Hass Avocado,0.01107,0.25033921302578016,2.3778420690138695,Premium
Organic Lemon,Organic Strawberries,0.00913,0.20646766169154226,1.3946748290431117,Premium
Organic Lemon,Bag of Organic Bananas,0.01071,0.24219810040705564,1.4219344825166185,Premium
Organic Cucumber,Bag of Organic Bananas,0.00958,0.25424628450106157,1.4926688457762083,Premium
Organic Cucumber,Organic Strawberries,0.00913,0.2423036093418259,1.6367441863133336,Premium
Organic Cucumber,Organic Hass Avocado,0.00802,0.21284501061571123,2.0217041281887465,Premium
Organic Cucumber,Organic Baby Spinach,0.00743,0.19718683651804672,1.7554245216598123,Premium
Sparkling Water Grapefruit,Lime Sparkling Water,0.00628,0.18813660874775315,8.536143772584081,Premium
Lime Sparkling Water,Sparkling Water Grapefruit,0.00628,0.2849364791288566,8.536143772584081,Premium
Organic Ginger Root,Organic Garlic,0.00533,0.213627254509018,4.063672332300134,Premium
Organic Blackberries,Organic Strawberries,0.00703,0.2372595342558218,1.6026718066456485,Premium
Organic Garnet Sweet Potato (Yam),Bag of Organic Bananas,0.00512,0.23714682723483094,1.3922786780651144,Premium
Red Vine Tomato,Banana,0.00739,0.29714515480498593,1.3716079893140045,Premium
Asparagus,Organic Baby Spinach,0.00513,0.1685282522996058,1.500296023320625,Premium
Red Onion,Banana,0.00609,0.2869934024505184,1.3247479802922748,Premium
Organic Baby Spinach,Bag of Organic Bananas,0.014471703126383845,0.19484855711900786,1.5501938123102577,New
Cucumber Kirby,Banana,0.008024089983172437,0.2525083612040134,1.4191497791709882,New
Strawberries,Banana,0.012629527942609157,0.26495726495726496,1.489115220822538,New
Organic Hass Avocado,Bag of Organic Bananas,0.014453989903462935,0.24885635864592862,1.9798739751065246,New
Organic Blueberries,Organic Strawberries,0.0072269949517314675,0.18655692729766804,2.6998388440373873,New
Organic Blueberries,Bag of Organic Bananas,0.008183508989460632,0.2112482853223594,1.6806682564647406,New
Seedless Red Grapes,Banana,0.007120715614206005,0.23772915434654054,1.3360875469023343,New
Honeycrisp Apple,Banana,0.00690815693915508,0.28634361233480177,1.609310964097684,New
Organic Whole Milk,Bag of Organic Bananas,0.006518466034895049,0.1707656612529002,1.358592926442007,New
Organic Cilantro,Limes,0.005739084226374989,0.2142857142857143,4.789192399049882,New
Organic Cucumber,Bag of Organic Bananas,0.00616420157647684,0.23434343434343433,1.8644107364513225,New
Organic Lemon,Bag of Organic Bananas,0.005296253653352227,0.21526277897768178,1.7126071289719595,New
Blueberries,Banana,0.007049862722522363,0.24735860783095087,1.3902070886108842,New
Organic Fuji Apple,Banana,0.00921087591887344,0.29562251279135876,1.661460324503351,New
Organic Zucchini,Organic Baby Spinach,0.005508812328403153,0.1682900432900433,2.2658751237632706,New
Large Lemon,Limes,0.009334868479319813,0.1638172210133665,3.6612435519832163,New
Limes,Large Lemon,0.009334868479319813,0.2086302454473476,3.6612435519832167,New
