rank,product_id,product_name,nb_purchases
1,24852,Banana,472565
2,13176,Bag of Organic Bananas,379450
3,21137,Organic Strawberries,264683
4,21903,Organic Baby Spinach,241921
5,47209,Organic Hass Avocado,213584
6,47766,Organic Avocado,176815
7,47626,Large Lemon,152657
8,16797,Strawberries,142951
9,26209,Limes,140627
10,27845,Organic Whole Milk,137905
11,27966,Organic Raspberries,137057
12,22935,Organic Yellow Onion,113426
13,24964,Organic Garlic,109778
14,45007,Organic Zucchini,104823
15,39275,Organic Blueberries,100060
16,49683,Cucumber Kirby,97315
17,28204,Organic Fuji Apple,89632
18,5876,Organic Lemon,87746
19,8277,Apple Honeycrisp Organic,85020
20,40706,Organic Grape Tomatoes,84255
21,4920,Seedless Red Grapes,82689
22,30391,Organic Cucumber,80392
23,45066,Honeycrisp Apple,79769
24,42265,Organic Baby Carrots,76896
25,49235,Organic Half & Half,76360
26,44632,Sparkling Water Grapefruit,75886
27,19057,Organic Large Extra Fancy Fuji Apple,75165
28,4605,Yellow Onions,73167
29,37646,Organic Gala Apples,72846
30,21616,Organic Baby Arugula,72829
31,17794,Carrots,72736
32,27104,Fresh Cauliflower,71584
33,30489,Original Hummus,71314
34,31717,Organic Cilantro,69524
35,27086,Half & Half,69217
36,44359,Organic Small Bunch Celery,68091
37,28985,Michigan Organic Kale,67449
38,46979,Asparagus,67283
39,8518,Organic Red Onion,66986
40,41950,Organic Tomato Cluster,64289
41,26604,Organic Blackberries,61746
42,5077,100% Whole Wheat Bread,60816
43,34126,Organic Italian Parsley Bunch,60621
44,22035,Organic Whole String Cheese,59676
45,39877,Organic Granny Smith Apple,58779
46,35951,Organic Unsweetened Almond Milk,57895
47,43352,Raspberries,57640
48,10749,Organic Red Bell Pepper,57485
49,19660,Spring Water,56087
50,9076,Blueberries,55946
51,21938,Green Bell Pepper,55484
52,43961,Organic Peeled Whole Baby Carrots,55371
53,24184,Red Peppers,55280
54,34969,Red Vine Tomato,54409
55,46667,Organic Ginger Root,52087
56,48679,Organic Garnet Sweet Potato (Yam),51939
57,25890,Boneless Skinless Chicken Breasts,50281
58,31506,Extra Virgin Olive Oil,50255
59,12341,Hass Avocados,50221
60,39928,Organic Kiwi,50141
61,24838,Unsweetened Almondmilk,49569
62,5450,Small Hass Avocado,49021
63,22825,Organic D'Anjou Pears,48915
64,5785,Organic Reduced Fat 2% Milk,47839
65,35221,Lime Sparkling Water,46546
66,28842,Bunched Cilantro,45530
67,33731,Grated Parmesan,45238
68,27521,Organic Lacinato (Dinosaur) Kale,43067
69,44142,Red Onion,43009
70,33198,Sparkling Natural Mineral Water,42934
71,8174,Organic Navel Orange,42721
72,20114,Jalapeno Peppers,42561
73,8424,Broccoli Crown,42044
74,27344,Uncured Genoa Salami,41473
75,11520,Large Alfresco Eggs,40376
76,29487,Roma Tomato,40212
77,18465,Organic Grade A Free Range Large Brown Eggs,40045
78,28199,"Clementines, Bag",39825
79,15290,Orange Bell Pepper,39188
80,46906,Grape White/Green Seedless,38971
81,9839,Organic Broccoli,38720
82,27156,Organic Black Beans,38001
83,3957,100% Raw Coconut Water,37973
84,43122,Organic Bartlett Pear,37706
85,23909,2% Reduced Fat Milk,37091
86,34358,Garlic,36617
87,4799,Shredded Parmesan,36365
88,9387,Granny Smith Apples,36187
89,16759,Organic Carrot Bunch,35820
90,196,Soda,35791
91,42736,Unsalted Butter,35667
92,38689,Organic Reduced Fat Milk,35663
93,4210,Whole Milk,35633
94,41787,Bartlett Pears,35413
95,41220,Organic Romaine Lettuce,34874
96,47144,Unsweetened Original Almond Breeze Almond Milk,34583
97,7781,Organic Sticks Low Moisture Part Skim Mozzarella String Cheese,34209
98,33000,Pure Irish Butter,33908
99,20995,Organic Broccoli Florets,32887
100,21709,Sparkling Lemon Water,32788
101,19678,Organic Russet Potato,32534
102,40604,Feta Cheese Crumbles,32351
103,30233,Organic Large Brown Grade AA Cage Free Eggs,32105
104,34243,Organic Baby Broccoli,31792
105,37687,Organic Spring Mix,31768
106,24489,Organic Whole Strawberries,31445
107,42828,Whipped Cream Cheese,31192
108,5479,Italian Sparkling Mineral Water,30937
109,432,Vanilla Almond Breeze Almond Milk,30935
110,6184,Clementines,30843
111,16185,Sharp Cheddar Cheese,30170
112,42768,Organic Garbanzo Beans,30055
113,17948,Frozen Organic Wild Blueberries,29905
114,33754,Total 2% with Strawberry Lowfat Greek Strained Yogurt,29893
115,19348,Fat Free Milk,29345
116,8193,Russet Potato,29313
117,26369,Organic Roma Tomato,29296
118,42585,Organic Extra Firm Tofu,29124
119,14992,Green Beans,29069
120,14947,Pure Sparkling Water,28884
121,22963,Organic Roasted Turkey Breast,28384
122,1463,Organic Milk,27992
123,28849,No Salt Added Black Beans,27924
124,8021,100% Recycled Paper Towels,27864
125,25659,Organic Coconut Milk,27255
126,21405,"Organic Red Radish, Bunch",27226
127,46676,Total 0% Nonfat Greek Yogurt,26878
128,31343,Shredded Mild Cheddar Cheese,26777
129,41844,Honey Nut Cheerios,26741
130,38293,Ground Turkey Breast,26721
131,42701,Organic Sour Cream,26691
132,43789,Organic Basil,26668
133,36011,Organic Fat Free Milk,26591
134,5025,Green Onions,26536
135,39475,Total Greek Strained Yogurt,26443
136,43295,Unsweetened Vanilla Almond Milk,26307
137,11777,Red Raspberries,26220
138,20842,Total 0% Greek Yogurt,26154
139,32689,Romaine Hearts,25974
140,32655,Organic Large Grade AA Brown Eggs,25523
141,2295,Yellow Bell Pepper,25459
142,46802,Pineapple Chunks,24950
143,13870,Lightly Salted Baked Snap Pea Crisps,24950
144,25146,Original Orange Juice,24918
145,18531,Organic Heavy Whipping Cream,24664
146,5212,Watermelon Chunks,24534
147,31553,Fresh Ginger Root,24130
148,39408,Gala Apples,24086
149,260,Cantaloupe,23900
150,36695,Organic Hothouse Cucumbers,23892
151,10246,Organic Celery Hearts,23826
152,24830,Organic Romaine,23642
153,38383,Organic White Onions,23641
154,43768,Organic Bell Pepper,23388
155,1940,Organic 2% Reduced Fat Milk,23244
156,11182,Baby Spinach,23129
157,18523,Total 2% All Natural Greek Strained Yogurt with Honey,23034
158,18362,Organic Bread with 21 Whole Grains,23006
159,21288,Blackberries,22864
160,6046,Boneless Skinless Chicken Breast,22590
161,44683,Brussels Sprouts,22275
162,29987,Shredded Mozzarella,21999
163,890,Organic Diced Tomatoes,21997
164,38777,Organic Green Seedless Grapes,21745
165,43772,Cherubs Heavenly Salad Tomatoes,21552
166,23734,Sour Cream,21540
167,7948,Organic Unsalted Butter,21509
168,30450,Creamy Almond Butter,21490
169,38456,Large Grapefruit,21451
170,46969,Organic Bosc Pear,21431
171,44910,Organic Spring Mix Salad,21416
172,47734,Organic Green Cabbage,21352
173,38159,Organic Yellow Peaches,21301
174,26620,Peach Pear Flavored Sparkling Water,21233
175,47672,Uncured Hickory Smoked Sunday Bacon,20775
176,4957,Total 2% Lowfat Greek Strained Yogurt With Blueberry,20758
177,26165,Electrolyte Enhanced Water,20735
178,30776,Organic Raw Kombucha Gingerade,20707
179,44987,Heavy Whipping Cream,20684
180,35939,Organic Jalapeno Pepper,20262
181,14678,Organic Frozen Peas,20228
182,16349,Organic Yams,20217
183,28289,Organic Shredded Carrots,20211
184,29447,"Milk, Organic, Vitamin D",20198
185,44422,Organic Old Fashioned Rolled Oats,20140
186,40310,Oven Roasted Turkey Breast,20069
187,16953,Creamy Peanut Butter,20033
188,23375,Marinara Sauce,19998
189,33787,Total 2% Lowfat Greek Strained Yogurt with Peach,19908
190,19048,Organic Butternut Squash,19847
191,2078,Unsalted Pure Irish Butter,19846
192,13984,Organic Mint,19745
193,41290,Lemonade,19692
194,23165,Organic Leek,19671
195,32864,Organic Baby Rainbow Carrots,19639
196,17600,"YoKids Squeezers Organic Low-Fat Yogurt, Strawberry",19611
197,39812,Organic Thyme,19544
198,8859,Natural Spring Water,19518
199,48364,Sweet Onion,19501
200,33120,Organic Egg Whites,19400
201,31683,Original No Pulp 100% Florida Orange Juice,19345
202,26940,Organic Large Green Asparagus,19286
203,28465,Icelandic Style Skyr Blueberry Non-fat Yogurt,19257
204,35108,Salted Butter,19163
205,26283,White Corn,18906
206,37158,Chicken & Maple Breakfast Sausage,18602
207,37067,Organic Banana,18583
208,18370,Organic Shredded Mozzarella,18449
209,45,European Cucumber,18413
210,41665,Organic Mexican Blend Finely Shredded Cheese,18367
211,35547,Organic Baby Kale,18358
212,3952,Organic Broccoli Crowns,18341
213,10957,Fridge Pack Cola,18269
214,2086,Sustainably Soft Bath Tissue,18231
215,2966,Pure Coconut Water,18183
216,43154,Sparkling Mineral Water,18161
217,24799,Vanilla Skyr Nonfat Yogurt,18142
218,40571,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,18044
219,43713,Organic Creamy Peanut Butter,18040
220,10132,Organic American Cheese Singles,18040
221,40396,Guacamole,17960
222,18027,Ezekiel 4:9 Bread Organic Sprouted Whole Grain,17789
223,45535,Organic Low Sodium Chicken Broth,17716
224,1158,Mango Chunks,17699
225,25931,Organic Baby Spinach Salad,17672
226,7021,Organic Tomato Paste,17629
227,38739,Hass Avocado,17565
228,13629,Organic Snipped Green Beans,17423
229,42450,Macaroni & Cheese,17420
230,20119,Sparkling Water Berry,17411
231,15937,Shallot,17401
232,42342,Roasted Turkey Breast,17332
233,32478,Reduced Fat 2% Milk,17320
234,48745,Globe Eggplant,17257
235,45633,Organic Beef Hot Dogs,17140
236,21019,Roasted Red Pepper Hummus,17038
237,34050,Orange Juice,16987
238,34448,Original Veggie Straws,16850
239,48205,Spinach,16829
240,39619,Organic Tomato Basil Pasta Sauce,16824
241,17461,Air Chilled Organic Boneless Skinless Chicken Breasts,16816
242,45603,Trilogy Kombucha Drink,16791
243,30169,Total 2% All Natural Plain Greek Yogurt,16636
244,31040,Sea Salt Pita Chips,16626
245,38400,Asparation/Broccolini/Baby Broccoli,16535
246,13646,Lemon Hummus,16439
247,36865,Non Fat Raspberry Yogurt,16377
248,40174,2% Reduced Fat Organic Milk,16356
249,21267,Sourdough Bread,16318
250,17872,Total 2% Lowfat Plain Greek Yogurt,16246
251,5818,White Onion,16155
252,26790,Organic AppleApple,16129
253,39984,Organic Dill,15954
254,14084,Organic Unsweetened Vanilla Almond Milk,15935
255,23288,Distilled Water,15871
256,21376,Pretzel Crisps Original Deli Style Pretzel Crackers,15831
257,32734,Spaghetti,15813
258,33768,Sinfully Sweet Campari Tomatoes,15774
259,37766,XL Emerald White Seedless Grapes,15740
260,46654,Organic Grade A Large Brown Eggs,15703
261,12206,Basil Pesto,15638
262,329,Organic Whole Grassmilk Milk,15459
263,28934,Frozen Broccoli Florets,15458
264,6187,Raisin Bran Cereal,15415
265,6348,Mini Original Babybel Cheese,15377
266,39993,Vine Ripe Tomatoes,15367
267,18441,Organic Ketchup,15304
268,5646,Organic Turkey Bacon,15302
269,25340,Large Yellow Flesh Nectarine,15301
270,43086,Super Greens Salad,15298
271,6104,Whole Milk Plain Yogurt,15267
272,42356,Strawberry Preserves,15253
273,48775,Organic Red Cabbage,15055
274,651,Organic Salted Butter,15035
275,10673,Original Nooks & Crannies English Muffins,14973
276,47977,Grapefruit Sparkling Water,14928
277,19508,Corn Tortillas,14905
278,39180,Organic Lowfat 1% Milk,14869
279,40709,Sea Salt & Vinegar Potato Chips,14800
280,19677,Original Pure Creamy Almond Milk,14712
281,10017,Tilapia Filet,14707
282,27336,Organic Rainbow Carrots,14687
283,13535,Organic Medium Salsa,14678
284,13829,Mild Salsa,14664
285,42244,Total 2% All Natural Low Fat 2% Milkfat Greek Strained Yogurt,14621
286,11782,Bing Cherries,14618
287,27695,Natural Chicken & Sage Breakfast Sausage,14577
288,36070,"Super Spinach! Baby Spinach, Baby Bok Choy, Sweet Baby Kale",14572
289,28156,Total 0% Nonfat Plain Greek Yogurt,14549
290,6873,Organic Iceberg Lettuce,14476
291,49520,Orange Sparkling Water,14439
292,49383,Organic Bunch Beets,14433
293,8571,Baby Cucumbers,14399
294,24561,Organic Cheese Frozen Pizza,14313
295,13249,Skim Milk,14289
296,49075,Organic Brown Rice,14276
297,16083,Organic Large Brown Eggs,14255
298,24024,1% Lowfat Milk,14231
299,40545,Berry Medley,14227
300,40199,Chocolate Chip Cookies,14148
301,30720,Sugar Snap Peas,14120
302,17795,Organic Green Leaf Lettuce,14016
303,25588,Seedless Small Watermelon,13996
304,35921,Organic Large Grade A Brown Eggs,13881
305,17122,Honeycrisp Apples,13880
306,11422,Plain Greek Yogurt,13861
307,8670,Diced Tomatoes,13852
308,31915,Organic Red Delicious Apple,13833
309,35561,Organic Tortilla Chips,13776
310,42445,Organic Plain Whole Milk Yogurt,13732
311,14233,Natural Artesian Water,13727
312,7963,Gluten Free Whole Grain Bread,13715
313,17706,Organic Whole Grain Wheat English Muffins,13692
314,3599,Baked Aged White Cheddar Rice and Corn Puffs,13691
315,21295,Organic Spaghetti Squash,13637
316,44449,Organic Tomato Sauce,13597
317,36550,Organic Extra Large Grade AA Brown Eggs,13587
318,19019,Uncured Slow Cooked Ham,13571
319,30827,Seedless Cucumbers,13571
320,20082,Organic Whole Milk with DHA Omega-3,13528
321,35042,Black Beans,13525
322,25466,Water,13494
323,33401,Goat Cheese Crumbles,13450
324,1511,2% Reduced Fat DHA Omega-3 Reduced Fat Milk,13397
325,42625,"Flat Parsley, Bunch",13378
326,5194,Organic Bunny Fruit Snacks Berry Patch,13372
327,8048,Packaged Grape Tomatoes,13355
328,23537,Light Brown Sugar,13354
329,2825,Organic Original Hommus,13340
330,16965,Chocolate Ice Cream,13273
331,38928,0% Greek Strained Yogurt,13238
332,21195,Organic Extra Virgin Olive Oil,13216
333,19706,Organic Nectarine,13101
334,18288,Sea Salt Potato Chips,13086
335,13380,Organic Blue Corn Tortilla Chips,13040
336,7751,Tomato Ketchup,13039
337,15872,Celery Hearts,13039
338,4562,English Seedless Cucumber,13034
339,9339,Organic Chicken & Apple Sausage,12992
340,22395,Tomato Sauce,12906
341,38164,Almonds & Sea Salt in Dark Chocolate,12905
342,46720,Organic Free Range Chicken Broth,12849
343,40723,Organic Cripps Pink Apples,12834
344,15902,100 Calorie  Per Bag Popcorn,12822
345,35140,Organic Whole Cashews,12816
346,4472,Toasted Coconut Almondmilk Blend,12749
347,3376,Organic Whole Kernel Sweet Corn No Salt Added,12738
348,13166,"Organic Milk Reduced Fat, 2% Milkfat",12737
349,29662,Potato Yukon Gold Organic,12709
350,2855,Organic Good Seed Bread,12705
351,28993,Iceberg Lettuce,12698
352,7175,Organic Whipped Naturally Buttery Spread,12648
353,13575,Apples,12575
354,13740,Organic Summer Strawberry Bunny Fruit Snacks,12568
355,12916,Ginger Ale,12536
356,40516,Organic Romaine Hearts,12495
357,45200,Organic Cauliflower,12492
358,7503,Whole Almonds,12474
359,5782,Grade A Large White Eggs,12441
360,19691,Green Seedless Grapes,12437
361,5134,Organic Thompson Seedless Raisins,12430
362,40332,"Cage Free Brown Eggs-Large, Grade A",12424
363,12456,Organic Sunday Bacon,12391
364,21174,I Heart Baby Kale,12361
365,5258,Sparkling Water,12321
366,10644,Italian Extra Virgin Olive Oil,12318
367,39561,Crackers Cheddar Bunnies Snack Packs,12315
368,4421,Organic Beef Uncured Hot Dogs,12230
369,33129,Classic Hummus,12196
370,44765,Colby Cheese Sticks,12191
371,20955,Cereal,12184
372,46584,YoKids Blueberry & Strawberry/Vanilla Yogurt,12179
373,22124,Total 0% Raspberry Yogurt,12153
374,44570,Kale Greens,12141
375,3464,"Organic Butterhead (Boston, Butter, Bibb) Lettuce",12137
376,43662,"Yogurt, Strained Low-Fat, Coconut",12123
377,13198,85% Lean Ground Beef,12123
378,10070,Organic 1% Low Fat Milk,12121
379,32691,Vanilla Ice Cream,12117
380,7559,Cinnamon Rolls with Icing,12102
381,37710,Trail Mix,12068
382,36735,Organic Roasted Sliced Chicken Breast,12056
383,35898,Original Hot Sauce,12048
384,37029,Cream Cheese Spread,11975
385,34262,Hint Of Sea Salt Almond Nut Thins,11945
386,1025,Organic Fresh Basil,11930
387,18918,Organic Chopped Spinach,11925
388,42719,Natural Premium Coconut Water,11908
389,11408,Crushed Tomatoes,11872
390,18234,Organic Spinach Bunch,11843
391,44560,Kids Organic Chocolate Chip ZBars,11798
392,23029,Organic Uncured Sliced Black Forest Ham,11747
393,45123,Organic 21 Grain Thin Sliced Bread,11736
394,3896,Organic Honey Sweet Whole Wheat Bread,11705
395,9092,Organic Vegetable Broth,11703
396,28745,Oven Roasted Turkey,11684
397,18811,Organic Apple Juice,11666
398,26384,Large Brown Eggs,11655
399,35503,Organic Vanilla Almond Milk,11621
400,35628,Organic Strawberry Smoothie,11610
401,47141,Cola,11585
402,28476,Organic Small Curd Cottage Cheese,11570
403,25138,Organic Plain Greek Whole Milk Yogurt,11552
404,21386,Smartwater,11504
405,47042,Organic Red On the Vine Tomato,11466
406,46820,Vanilla Pure Almond Milk,11455
407,21292,Rainbow Bell Peppers,11451
408,11140,Organic Romaine Leaf,11431
409,21573,Roasted Pine Nut Hummus,11381
410,38768,Sweet Kale Salad Mix,11362
411,17949,Mild Cheddar Cheese Sticks,11339
412,1999,Organic Chicken Broth,11297
413,14197,Tomato Paste,11279
414,46616,Organic Dark Chocolate Peanut Butter Cups,11264
415,32433,Green Peas,11253
416,37220,Organic Strawberry Fruit Spread,11238
417,47759,Mandarin Oranges,11238
418,39947,Blackberry Cucumber Sparkling Water,11237
419,24954,Total 0% with Honey Nonfat Greek Strained Yogurt,11234
420,41065,Organic Yellow Squash,11223
421,21333,Original Whipped Cream Cheese,11179
422,25824,Pita Chips Simply Naked,11178
423,48628,Organic Whole Wheat Bread,11165
424,43504,Organic Chicken Strips,11110
425,1194,Natural Artisan Water,11110
426,44628,Organic Dijon Mustard,11103
427,5456,Green Tea With Ginseng and Honey,11079
428,38273,Marinara Pasta Sauce,11066
429,15613,Salted Tub of Butter,11053
430,35535,Organic Red Chard Greens,11029
431,15424,Purified Water,10998
432,27548,Original Semisoft Cheese,10990
433,24841,Aged White Cheddar Baked Rice & Corn Puffs Gluten Free Lunch Packs,10978
434,39190,Vanilla Unsweetened Almond Milk,10972
435,27730,Almond Breeze Original Almond Milk,10950
436,42110,Organic Macaroni Shells & Real Aged Cheddar,10907
437,29307,Baby Arugula,10893
438,14161,Kiwi,10872
439,49175,Organic Pinto Beans,10829
440,14462,Sliced Black Olives,10816
441,31066,Aluminum Foil,10774
442,16696,Coke Classic,10772
443,26800,Organic Baby Kale Mix,10725
444,9825,Organic Multigrain Waffles,10704
445,5322,Gluten Free Dark Chocolate Chunk Chewy with a Crunch Granola Bars,10701
446,27744,Organic Whipping Cream,10687
447,8309,Nonfat Icelandic Style Strawberry Yogurt,10663
448,11005,Organic Cream Cheese Bar,10653
449,41588,Firm Tofu,10652
450,11068,Medium Cheddar Cheese Block,10652
451,27796,Real Mayonnaise,10630
452,27325,Alpine Spring Water,10603
453,2228,Organic Frozen Mango Chunks,10584
454,7969,Lime,10576
455,22474,Cheddar Bunnies Snack Crackers,10557
456,9020,Boneless Skinless Chicken Thighs,10550
457,16521,Walnut Halves & Pieces,10531
458,5769,Organic Chicken Stock,10521
459,3298,Mozzarella String Cheese,10521
460,1244,Organic Orange Bell Pepper,10518
461,13517,Whole Wheat Bread,10512
462,27323,Pure & Natural Sour Cream,10483
463,2452,Naturals Chicken Nuggets,10462
464,28601,Collard Greens,10455
465,2314,Whole Milk Ricotta Cheese,10434
466,21927,Organic Boneless Skinless Chicken Breast,10424
467,32177,Blood Oranges,10421
468,13733,Red Potatoes,10415
469,12980,Large Greenhouse Tomato,10405
470,15261,Organic Rosemary,10390
471,19173,Orange Calcium & Vitamin D Pulp Free,10390
472,21872,Organic Italian Salad,10388
473,20345,Thin Crust Pepperoni Pizza,10386
474,41658,Authentic French Brioche Hamburger Buns,10379
475,18479,Organic Low Sodium Vegetable Broth,10375
476,49191,Cran Raspberry Sparkling Water,10365
477,20734,Organic Medjool Dates,10360
478,4086,Mint,10347
479,22849,Bunny-Luv Fresh Organic Carrots,10347
480,36724,Organic Sea Salt Roasted Seaweed Snacks,10345
481,17316,Vitamin D Organic Whole Milk,10329
482,5373,Organic No Salt Added Diced Tomatoes,10303
483,26497,Romaine Lettuce,10281
484,20738,Plain Bagels,10274
485,44799,Fresh CA Grown Eggs,10260
486,20574,Roasted Turkey,10195
487,5161,Dried Mango,10150
488,35914,Dha Omega 3 Reduced Fat 2% Milk,10148
489,22959,Reduced Fat Milk 100% Lactose Free,10130
490,37524,Fresh Mozzarella Ball,10101
491,6948,Organic Original Almond Milk,10060
492,12845,Chopped Walnuts,10027
493,4656,Raspberry Preserves,9989
494,17758,Strawberry Rhubarb Yoghurt,9961
495,47630,Medium Navel Orange,9959
496,26348,Mixed Fruit Fruit Snacks,9955
497,25513,Boomchickapop Sea Salt Popcorn,9938
498,33055,Organic Golden Delicious Apple,9929
499,34584,Organic Sliced Peaches,9922
500,11712,Cage Free Large White Eggs,9917
501,21543,Organic Quick Oats,9893
502,15649,Baby Seedless Cucumbers,9881
503,35887,Organic Mixed Vegetables,9877
504,31720,Organic  Whole Milk,9842
505,18926,Fat Free Strawberry Yogurt,9813
506,40198,Blueberry Yoghurt,9788
507,48697,Canola Oil,9783
508,49131,Smoked Turkey Breast Slices,9746
509,39108,Pulp Free Orange Juice,9733
510,6740,Organic Braeburn Apple,9720
